Emergency Requests,Non-Emergency Requests
Main building water supply shut off in the bathroom,Loose outlet cover in the living room in the living room
Hot water completely out for the entire building for multiple units,Stuck bathroom exhaust fan in the bathroom
Hot water completely out for the entire building in the bathroom,Balcony railing slightly wobbly but secure on the second floor
Large tree branch blocking an entrance in the bathroom,Toilet running continuously but not causing flooding for multiple units
Broken security gate preventing closure for multiple units,Loose door handle in the bedroom in the living room
Severe structural damage discovered after an earthquake in the bathroom,Minor drywall cracks on the second floor
Electrical wires exposed after a wall accident in the living room,Refrigerator making unusual noises but still functional on the second floor
Large tree branch blocking an entrance on the second floor,Non-essential kitchen light flickering in the bathroom
Severe structural damage discovered after an earthquake for multiple units,Small ceiling stain from a leak that has already been repaired in the bathroom
Large tree branch blocking an entrance on the second floor,Burned out light bulb in hallway in the bathroom
Resident stuck in a malfunctioning elevator on the second floor,Loose door handle in the bedroom in the living room
No heat in the middle of winter and its 20F outside in the bathroom,Minor ant problem in the kitchen for multiple units
Electrical outlet sparking and smoking for multiple units,Loose tile in the bathroom in extreme weather
Tornado or hurricane causing damage to roof or windows in the bathroom,Refrigerator making unusual noises but still functional in extreme weather
Main building water supply shut off in the bathroom,Chipped paint on a common area wall in the living room
Broken security gate preventing closure for multiple units,Small ceiling stain from a leak that has already been repaired for multiple units
Elevator malfunction causing doors to remain open for multiple units,Small ceiling stain from a leak that has already been repaired in the living room
Broken furnace in freezing temperatures in the bathroom,Burned out light bulb in hallway in the bathroom
Hot water completely out for the entire building in the living room,Dishwasher not draining properly but still functioning in extreme weather
Electrical wires exposed after a wall accident in the living room,Minor ant problem in the kitchen on the second floor
Severe structural damage discovered after an earthquake for multiple units,Chipped paint on a common area wall in the bathroom
Severe structural damage discovered after an earthquake in the living room,Minor drywall cracks on the second floor
Main building water supply shut off in extreme weather,Loose cabinet hinge in the bathroom
Water heater leaking rapidly into a common area for multiple units,Balcony railing slightly wobbly but secure in the living room
Elevator malfunction causing doors to remain open in extreme weather,Slow drain in the kitchen sink in the living room
Water heater leaking rapidly into a common area in the bathroom,Minor drywall cracks in the bathroom
Elevator malfunction causing doors to remain open in the bathroom,Patio door sticks but still opens and closes for multiple units
Electrical outlet sparking and smoking for multiple units,Balcony railing slightly wobbly but secure in the bathroom
Hot water completely out for the entire building in the living room,Chipped paint on a common area wall on the second floor
Tornado or hurricane causing damage to roof or windows in the living room,Loose tile in the bathroom in the bathroom
Broken furnace in freezing temperatures on the second floor,Refrigerator making unusual noises but still functional for multiple units
Carbon monoxide detected in multiple units in the living room,Loose tile in the bathroom in the living room
Burst sewer pipe flooding outdoor common areas on the second floor,Air conditioning unit making loud noises but cooling for multiple units
Electrical wires exposed after a wall accident in the bathroom,Slow ice maker in the refrigerator in extreme weather
No heat in the middle of winter and its 20F outside on the second floor,Non-essential kitchen light flickering in the living room
Elevator malfunction causing doors to remain open in the living room,Minor leak from faucet handle in the living room
Tornado or hurricane causing damage to roof or windows on the second floor,Refrigerator making unusual noises but still functional for multiple units
Resident stuck in a malfunctioning elevator for multiple units,Loose cabinet hinge in the bathroom
Elevator malfunction causing doors to remain open for multiple units,Ceiling fan wobbling on low speed on the second floor
Severe structural damage discovered after an earthquake in the living room,Closet door off track in extreme weather
Broken furnace in freezing temperatures for multiple units,Closet door off track in the living room
Basement flooded due to broken sump pump in the living room,Minor ant problem in the kitchen in the living room
Water heater leaking rapidly into a common area for multiple units,Minor drywall cracks in extreme weather
Water heater leaking rapidly into a common area in extreme weather,Loose cabinet hinge in the bathroom
Tornado or hurricane causing damage to roof or windows in the bathroom,Burned out light bulb in hallway in extreme weather
Main building water supply shut off in the bathroom,Non-essential kitchen light flickering on the second floor
Electrical outlet sparking and smoking in the bathroom,Patio door sticks but still opens and closes in the bathroom
Basement flooded due to broken sump pump for multiple units,Loose outlet cover in the living room in the bathroom
Tornado or hurricane causing damage to roof or windows on the second floor,Closet door off track in the bathroom
Hot water completely out for the entire building in extreme weather,Non-essential kitchen light flickering on the second floor
Broken furnace in freezing temperatures on the second floor,Air conditioning unit making loud noises but cooling in the living room
Carbon monoxide detected in multiple units for multiple units,Patio door sticks but still opens and closes in the living room
Burst sewer pipe flooding outdoor common areas for multiple units,Minor drywall cracks in the bathroom
Water heater burst flooding the basement on the second floor,Closet door off track in the bathroom
Water heater leaking rapidly into a common area on the second floor,Toilet running continuously but not causing flooding in the bathroom
Resident unable to exit their apartment due to door malfunction in extreme weather,Refrigerator making unusual noises but still functional in the bathroom
No heat in the middle of winter and its 20F outside in the living room,Small ceiling stain from a leak that has already been repaired for multiple units
Air conditioning fails in extreme heat (over 90°F) in the living room,Stuck bathroom exhaust fan in the bathroom
Electrical wires exposed after a wall accident in the living room,Patio door sticks but still opens and closes in the bathroom
Resident stuck in a malfunctioning elevator for multiple units,Toilet running continuously but not causing flooding in the bathroom
Smoke detector malfunctioning and won't stop alarming in extreme weather,Balcony railing slightly wobbly but secure on the second floor
Electrical outlet sparking and smoking in the living room,Loose tile in the bathroom in the living room
Broken furnace in freezing temperatures in extreme weather,Loose door handle in the bedroom in the living room
Hot water completely out for the entire building in extreme weather,Loose cabinet hinge in the bathroom
Electrical wires exposed after a wall accident for multiple units,Missing or cracked caulk in the shower on the second floor
No heat in the middle of winter and its 20F outside in the living room,Patio door sticks but still opens and closes for multiple units
Resident stuck in a malfunctioning elevator in extreme weather,Slow drain in the kitchen sink in the living room
Water heater leaking rapidly into a common area in extreme weather,Minor leak from faucet handle in the bathroom
Resident unable to exit their apartment due to door malfunction in extreme weather,Slow drain in the kitchen sink in extreme weather
"Fire alarm pulled, but no visible fire or smoke for multiple units",Dishwasher not draining properly but still functioning for multiple units
Broken lock on the front door for multiple units,Refrigerator making unusual noises but still functional in extreme weather
Major roof leak during a storm in the living room,Patio door sticks but still opens and closes for multiple units
Broken lock on the front door in the bathroom,Small ceiling stain from a leak that has already been repaired on the second floor
Electrical outlet sparking and smoking in extreme weather,Loose cabinet hinge in the living room
No heat in the middle of winter and its 20F outside in the living room,Air conditioning unit making loud noises but cooling on the second floor
"Fire alarm pulled, but no visible fire or smoke on the second floor",Loose cabinet hinge in the bathroom
Resident stuck in a malfunctioning elevator in extreme weather,Stuck bathroom exhaust fan in extreme weather
Resident stuck in a malfunctioning elevator on the second floor,Missing or cracked caulk in the shower for multiple units
Broken exterior window on the ground floor for multiple units,Loose tile in the bathroom in extreme weather
Major roof leak during a storm in the living room,Minor drywall cracks in the living room
Smoke detector malfunctioning and won't stop alarming for multiple units,Minor leak from faucet handle on the second floor
Large tree branch blocking an entrance for multiple units,Balcony railing slightly wobbly but secure for multiple units
Smoke detector malfunctioning and won't stop alarming in the bathroom,Patio door sticks but still opens and closes for multiple units
Major roof leak during a storm in the bathroom,Minor ant problem in the kitchen in the living room
Air conditioning fails in extreme heat (over 90°F) in the living room,Chipped paint on a common area wall for multiple units
Carbon monoxide detected in multiple units in the living room,Burned out light bulb in hallway in extreme weather
Resident unable to exit their apartment due to door malfunction for multiple units,Closet door off track in the bathroom
Broken exterior window on the ground floor for multiple units,Loose door handle in the bedroom in extreme weather
Burst sewer pipe flooding outdoor common areas on the second floor,Non-essential kitchen light flickering for multiple units
Basement flooded due to broken sump pump on the second floor,Loose cabinet hinge in the living room
Resident unable to exit their apartment due to door malfunction in the bathroom,Loose door handle in the bedroom on the second floor
Water heater burst flooding the basement in the living room,Leaky faucet in the kitchen on the second floor
Resident unable to exit their apartment due to door malfunction in extreme weather,Loose cabinet hinge on the second floor
"Fire alarm pulled, but no visible fire or smoke in the bathroom",Air conditioning unit making loud noises but cooling on the second floor
Major roof leak during a storm for multiple units,Loose cabinet hinge on the second floor
Electrical outlet sparking and smoking for multiple units,Chipped paint on a common area wall on the second floor
Burst sewer pipe flooding outdoor common areas in the living room,Loose door handle in the bedroom in the bathroom
Hot water completely out for the entire building in the living room,Small ceiling stain from a leak that has already been repaired for multiple units
Elevator malfunction causing doors to remain open for multiple units,Chipped paint on a common area wall in the living room
Water heater burst flooding the basement on the second floor,Air conditioning unit making loud noises but cooling in the living room
Major roof leak during a storm for multiple units,Refrigerator making unusual noises but still functional for multiple units
Main building water supply shut off for multiple units,Balcony railing slightly wobbly but secure on the second floor
Electrical wires exposed after a wall accident for multiple units,Minor leak from faucet handle in the bathroom
Broken exterior window on the ground floor in the living room,Slow drain in the kitchen sink in the living room
Air conditioning fails in extreme heat (over 90°F) in extreme weather,Slow ice maker in the refrigerator for multiple units
Basement flooded due to broken sump pump in the bathroom,Slow ice maker in the refrigerator in extreme weather
Broken security gate preventing closure for multiple units,Patio door sticks but still opens and closes for multiple units
Gas leak detected in the kitchen in the living room,Ceiling fan wobbling on low speed in the living room
Elevator malfunction causing doors to remain open in the bathroom,Closet door off track in extreme weather
Electrical wires exposed after a wall accident in extreme weather,Small ceiling stain from a leak that has already been repaired for multiple units
Gas leak detected in the kitchen on the second floor,Loose door handle in the bedroom in the living room
Burst sewer pipe flooding outdoor common areas for multiple units,Chipped paint on a common area wall for multiple units
No heat in the middle of winter and its 20F outside in the bathroom,Air conditioning unit making loud noises but cooling in the living room
Basement flooded due to broken sump pump in extreme weather,Stuck bathroom exhaust fan for multiple units
Gas leak detected in the kitchen for multiple units,Burned out light bulb in hallway in extreme weather
Electrical wires exposed after a wall accident in extreme weather,Refrigerator making unusual noises but still functional for multiple units
Tornado or hurricane causing damage to roof or windows in the living room,Missing or cracked caulk in the shower on the second floor
Burst sewer pipe flooding outdoor common areas in the bathroom,Chipped paint on a common area wall for multiple units
Basement flooded due to broken sump pump on the second floor,Loose outlet cover in the living room on the second floor
Air conditioning fails in extreme heat (over 90°F) in the bathroom,Refrigerator making unusual noises but still functional in the bathroom
Electrical wires exposed after a wall accident in extreme weather,Small ceiling stain from a leak that has already been repaired in the bathroom
No heat in the middle of winter and its 20F outside for multiple units,Small ceiling stain from a leak that has already been repaired in the bathroom
Broken exterior window on the ground floor in extreme weather,Loose door handle in the bedroom in extreme weather
Electrical wires exposed after a wall accident in extreme weather,Toilet running continuously but not causing flooding in extreme weather
Electrical outlet sparking and smoking for multiple units,Loose outlet cover in the living room in extreme weather
"Fire alarm pulled, but no visible fire or smoke for multiple units",Missing or cracked caulk in the shower on the second floor
Resident stuck in a malfunctioning elevator in the bathroom,Patio door sticks but still opens and closes in extreme weather
Basement flooded due to broken sump pump in extreme weather,Burned out light bulb in hallway in the living room
No heat in the middle of winter and its 20F outside in the living room,Minor drywall cracks for multiple units
Resident unable to exit their apartment due to door malfunction on the second floor,Leaky faucet in the kitchen in extreme weather
Resident unable to exit their apartment due to door malfunction in extreme weather,Minor drywall cracks on the second floor
Water heater burst flooding the basement in the living room,Chipped paint on a common area wall in the bathroom
Resident unable to exit their apartment due to door malfunction in the bathroom,Leaky faucet in the kitchen on the second floor
Broken exterior window on the ground floor in the living room,Closet door off track in the bathroom
Burst sewer pipe flooding outdoor common areas in the living room,Toilet running continuously but not causing flooding in the bathroom
Electrical wires exposed after a wall accident in the bathroom,Loose tile in the bathroom for multiple units
Large tree branch blocking an entrance in the living room,Non-essential kitchen light flickering in the living room
Hot water completely out for the entire building for multiple units,Closet door off track on the second floor
Electrical outlet sparking and smoking in the living room,Refrigerator making unusual noises but still functional for multiple units
Broken furnace in freezing temperatures on the second floor,Minor ant problem in the kitchen in the living room
Broken security gate preventing closure in the bathroom,Small ceiling stain from a leak that has already been repaired in extreme weather
Basement flooded due to broken sump pump in extreme weather,Stuck bathroom exhaust fan in extreme weather
Large tree branch blocking an entrance on the second floor,Ceiling fan wobbling on low speed for multiple units
Resident unable to exit their apartment due to door malfunction in the living room,Non-essential kitchen light flickering on the second floor
Broken security gate preventing closure on the second floor,Stuck bathroom exhaust fan on the second floor
Gas leak detected in the kitchen on the second floor,Small ceiling stain from a leak that has already been repaired in the bathroom
Main building water supply shut off in the bathroom,Air conditioning unit making loud noises but cooling on the second floor
Carbon monoxide detected in multiple units on the second floor,Refrigerator making unusual noises but still functional in the living room
Large tree branch blocking an entrance for multiple units,Air conditioning unit making loud noises but cooling on the second floor
Electrical outlet sparking and smoking on the second floor,Leaky faucet in the kitchen in extreme weather
Tornado or hurricane causing damage to roof or windows in the bathroom,Chipped paint on a common area wall in the living room
Water heater leaking rapidly into a common area in extreme weather,Minor leak from faucet handle in the living room
Severe structural damage discovered after an earthquake for multiple units,Ceiling fan wobbling on low speed for multiple units
Smoke detector malfunctioning and won't stop alarming in extreme weather,Missing or cracked caulk in the shower for multiple units
